id,name_pl,lon,lat
2492,Załom,14.71807,53.42893
2495,Szczepankowo,17.01966,52.35975
2497,Zakamycze,19.83423,50.06366
2519,Zaborze,18.81682,50.29041
2550,Gumniska,20.99805,50.00861
2560,Skrzetusko,18.02796,53.12762
2568,Redykajny,20.43742,53.81064
2582,Centrum,22.70036,51.21994
2597,Ząbkowice,19.26306,50.36283
2603,Marymont,20.95000,52.26000
2612,Antoninek,17.02352,52.41149
2617,Kościelniki,20.17836,50.09179
2621,Książąt Pomorskich,14.55826,53.42622
2725,Centrum,16.57538,51.84342
2729,Klecina,16.97262,51.06200
2734,Ołtaszyn,17.02200,51.05657
2747,Polanowice,17.04736,51.16373
2748,Pawłowice,17.09835,51.16795
2750,Szombierki,18.87560,50.33591
2751,Sławin,22.50983,51.27162
2763,Trynek,18.66617,50.27268
2764,Łabędy,18.62930,50.34641
2765,Kopernik,18.65452,50.32144
2778,Stare Gliwice,18.60930,50.30424
2809,Wilkowyje,18.94129,50.14384
2814,Ołbin,17.05578,51.12319
2820,Kowale,17.10178,51.13207
2822,Centrum,19.12541,50.32560
2830,Pojezierze,20.50917,53.77562
2837,Miechowice,18.85721,50.36417
2839,Szczepin,17.00617,51.11674
2840,Muchobór Wielki,16.94777,51.09712
2843,Bieruń Stary,19.09147,50.09418
2845,Zalesie,17.08670,51.12083
2849,Majowe,14.67368,53.37732
2957,Gołąbkowice,20.71488,49.62538
3163,Wójtowa Wieś,18.63383,50.28488
3169,Ostropa,18.57789,50.28294
3196,Nowe Miasto,23.12127,53.10582
3216,Jędrzychów,15.51181,51.90454
3217,Rowień,18.64970,50.06749
3224,Tłoki,20.67531,49.60298
3256,Tarpno,18.82293,53.49769
3266,Brzezinka,18.57125,50.32375
3268,Centrum,18.26101,52.79492
3285,Winiary,17.60712,52.55239
3294,Lipce,18.63808,54.30292
3295,Huby,17.04125,51.08972
3315,Marysin Wawerski,21.15273,52.23294
3319,Centrum,21.01111,52.23194
3341,Rogatka Warszawska,22.52638,51.25134
3356,Gronowo,16.60182,51.88953
3361,Niedźwiednik,18.56287,54.37725
3365,Bieżanów,20.02507,50.01945
3383,Opatkowice,19.90277,49.99142
3391,Brdyujście,18.13000,53.13389
3395,Wyszogrodzka,19.71750,52.53917
3410,Czyżkówko,17.96000,53.15000
3422,Piasta,23.18289,53.13476
3423,Grotowice,17.96914,50.59321
3430,Sidzina,19.87575,49.98728
3433,Sławięcice,18.32380,50.37269
3434,Zielone Wzgórza,23.10333,53.12194
3453,Zadębie,22.60789,51.25786
3459,Szerokie,22.50058,51.25212
3463,Milowice,19.07611,50.29421
3493,Szczakowa,19.27903,50.24123
3497,Górzyskowo,17.97636,53.11190
3509,Wiczlino,18.43700,54.48394
3515,Żbików,20.80544,52.18188
3525,Piaski,17.97125,53.17309
3527,Brzeziny,21.03981,52.33077
3528,Lasek,16.87738,52.34617
3536,Bydgoskie Przedmieście,18.57054,53.00947
3553,Leśna Dolina,23.09444,53.12917
3558,Centrum,19.07044,50.31727
3569,Jaroty,20.49809,53.74070
3570,Zielona,21.06876,52.18600
3576,Kobyle Pole,17.02340,52.39053
3595,Hałcnów,19.09465,49.85435
3596,Stoki,19.35453,51.44581
3610,Wilczak,16.95062,52.43001
3634,Wojnów,17.15891,51.09903
3637,Skolwin,14.61511,53.51599
3664,Kiełpino Górne,18.50754,54.34149
3665,Grabówka,19.21873,50.95661
3672,Bydgoszcz-Wschód,18.07062,53.12669
3677,Biskupice,18.81385,50.32618
3721,Przydworcowe,23.14111,53.13083
3731,Zatorze,18.25167,52.23444
3762,Lisiniec,19.06591,50.81244
3802,Szczawienko,16.30112,50.81678
3820,Podgórz,18.58482,52.98715
3839,Rybaki,18.58873,53.00817
3847,Brzęczkowice,19.13871,50.21980
3852,Centrum,18.91100,50.29190
3853,Maciejkowice,18.97532,50.32662
3856,Józefowiec,19.00594,50.28200
3882,Stroszek,18.85671,50.39272
3894,Osiny,18.68145,50.00934
3910,Kamienica,19.01707,49.79576
3923,Centrum,18.61011,49.94542
3932,Ruptawa,18.60047,49.92762
3933,Pobitno,22.03288,50.04434
3949,Zofiówka,18.62056,49.96667
3950,Moszczenica,18.55367,49.93619
3965,Centrum,18.60943,53.01245
3983,Rozbark,18.93365,50.34578
3984,Orzegów,18.86868,50.32625
3986,Szarlej,18.94731,50.37074
4018,Pniowiec,18.80358,50.49363
4031,Kępa Zawadowska,21.13977,52.14632
4040,Czułów,18.98861,50.14622
4075,Podgórze,16.29076,50.75082
4081,Suchostrzygi,18.75192,54.09511
4090,Sobięcin,16.24062,50.76022
4096,Bojary,23.17675,53.13554
4110,Stary Zdrój,16.28600,50.78162
4115,Szczęśliwice,20.94986,52.20733
4117,Mokre,18.86244,50.17935
4119,Bory,19.27864,50.17797
4131,Stara Kuźnia,18.86386,50.23282
4132,Płonia,14.71855,53.37270
4149,Skotniki,19.86544,50.01715
4152,Płaszów,19.98677,50.04461
4224,Pątnów,18.25242,52.30551
4239,Motylewo,16.75439,53.10061
4240,Podlasie,16.80689,53.15230
4257,Starosielce,23.11061,53.11176
4266,Zbójna Góra,21.22148,52.18904
4277,Rokosowo,16.23281,54.19118
4286,Wysoki Stoczek,23.10577,53.14432
4294,Piaski Wielkie,19.98906,50.00812
4295,Morgi,19.12719,50.20906
4296,Ławki,19.11342,50.16020
4305,Edwardowo,16.85264,52.41033
4333,Stare Miasto,18.00033,53.12193
4334,Centrum,20.43878,52.05519
4341,Szobiszowice,18.69839,50.30916
4360,Parkitka,19.10368,50.82584
4378,Centrum,18.24138,54.60345
4379,Łagiewniki,18.91339,50.32266
4388,Feliks,19.25659,50.28417
4411,H,18.97322,50.12714
4426,Przeróbka,18.67364,54.38524
4428,Dąb,18.99982,50.26942
4444,Nadmorska,15.57426,54.18617
4452,Nowe Rokicie,19.44619,51.73515
4459,Bema,23.13944,53.11889
4465,Poświętne,17.03104,51.15353
4466,Popowice,17.00157,51.12692
4472,Kostuchna,18.98193,50.18990
4474,Panewniki,18.95568,50.22770
4514,Wróblowice,19.94900,49.98424
4516,Zawodzie,19.06164,50.25688
4525,Jerzmanowo,16.87359,51.12106
4530,Winiary,19.65537,52.55974
4543,Południe,17.09011,51.07012
4557,Załęże,18.98653,50.26195
4595,Wapienica,18.97220,49.80863
4609,Urbanowice,19.03337,50.11065
4625,Ostoja,20.81515,52.15533
4646,Marcelin,21.00167,52.32496
4657,Stabłowice,16.88361,51.14806
4658,Nowy Bytom,18.86114,50.29070
4698,Lipnik,19.08869,49.82629
4715,Księże Wielkie,17.09387,51.06767
4716,Lipa Piotrowska,16.99637,51.17091
4792,Konradów,16.23437,50.79596
4805,Zawada,20.73151,49.57822
4819,Zgorzelisko,17.12836,51.13856
4826,Skiereszewo,17.54320,52.53038
4829,Chorzów II,18.94402,50.30607
4838,Maciejowa,15.83950,50.90679
4841,Grabiszynek,16.99132,51.08236
4889,Poniatów,16.31333,50.79611
4927,Śródmieście,19.06580,52.65334
4935,Kawiary,17.61427,52.52007
4945,Wygoda,23.19934,53.14554
4950,Długoszyn,19.24597,50.24400
4964,Kaliny,14.50726,53.43080
4992,Wiskitno,19.55629,51.71173
4995,Wieniawa,22.52761,51.24924
5004,Bocianek,20.64705,50.88550
5006,Bieruń Nowy,19.18000,50.08000
