id,name_pl,lon,lat
65222,Toczeń,16.88686,53.99672
65464,Rejczuchy,20.71364,53.81064
65784,Porzecze,16.40345,54.37961
66915,Szwaruny,20.81274,54.20737
67022,Laskowa,16.83442,51.55781
67033,Budachów-Kolonia,15.07081,52.15998
67165,Miasteczko,21.33439,51.28217
67447,Zapole,19.17502,51.00815
67657,Wólka Grodziska,22.39974,50.18952
72996,Zawoje,21.90160,49.48760
73124,Wólka Lichtajńska,20.02821,53.66320
577,Wiślica,20.67511,50.34821
606,Pierzchnica,20.75601,50.69655
624,Sadowie,21.37070,50.85180
1061,Masłowice,19.78966,51.10271
1130,Głogoczów,19.93828,49.84226
1560,Chłopice,22.67682,49.94626
1608,Czermin,21.33440,50.33889
1662,Zaklików,22.10223,50.75567
2033,Lubichowo,18.40397,53.85025
2245,Mierzęcice,19.12516,50.44358
2404,Strzeleczki,17.87229,50.44874
2557,Lubień Kujawski,19.16602,52.40521
2642,Jasień,15.01667,51.75000
3048,Wola Zgłobieńska,21.82185,50.00378
3274,Jakubowice,19.92545,50.94627
4390,Nowa Jastrząbka,21.16459,50.12089
10822,Zagaje,15.97964,54.23468
11365,Milsko,15.77387,51.94387
11745,Gruszewo,15.95914,53.94734
14045,Radwan,21.04148,50.25456
14653,Dziekanowice,20.10055,49.90217
14682,Miłkowice,18.65981,51.83280
17310,Niwiska,15.39080,51.81815
17740,Maliniak,19.96732,53.92290
18828,Mąchocice Kapitulne,20.77403,50.89572
19112,Smarzykowo,17.62740,52.94676
20252,Bierówka,21.57844,49.77094
21247,Stare Marzy,18.67381,53.47797
21934,Trzęsacz,14.99333,54.07718
22264,Barnisław,14.41039,53.36441
22770,Ostrówek,19.03652,51.59085
23401,Lubuczewo,17.03104,54.49588
23914,Raczyn,18.53789,51.25986
24430,Pietkowo Drugie,22.88360,52.89725
24520,Wiktorówek,18.38311,51.30750
24633,Wołyńskie,20.01154,52.33926
25677,Liśnik Duży,22.06970,50.88783
25784,Chrustowo,18.94612,52.37894
25829,Gubiny,18.92908,53.56168
26199,Hieronimów,21.54587,51.06754
26400,Czajcze,17.01958,53.28701
26425,Kosiorów,21.88561,51.11220
26916,Tulewo Górne,21.45042,52.59318
26921,Czerniejew,22.08030,52.12084
27097,Popowo,16.47779,53.17417
27287,Wólka Łabuńska,23.38551,50.63563
28078,Wodziany,19.75940,53.84738
28647,Rożnowo,20.04206,54.03120
29104,Skrobek,16.60944,53.13222
29279,Role,22.42016,51.97445
29366,Nowy Stanin,22.16054,51.84787
29447,Sulimy,22.08576,53.65599
29488,Strzyżyno,17.37293,54.49066
29682,Zabruzdy-Kolonia,21.85104,51.89957
29827,Długi Bród,23.53600,52.62359
30229,Wola Wąkopna,21.01794,50.72301
30476,Koliszowy,20.22949,51.17713
30537,Jackowskie,18.66361,51.33326
30854,Weklice,19.57745,54.11720
30971,Zatyle,23.49333,50.35848
31640,Zalesice-Leśniczówka,19.49455,50.77675
32214,Małociechowo,18.27187,53.34546
32272,Osiecza Druga,18.10589,52.18234
32344,Stare Truskolasy,22.69003,53.03717
32964,Myśligoszcz,17.30328,53.56822
33192,Łagówek,15.31581,52.34857
33354,Jednaczewo,22.00997,53.22012
33963,Żulin,21.88170,52.49114
34166,Połchowo,15.53011,53.53631
34329,Bania,20.20806,51.00250
34499,Piecewo,19.16291,53.38025
34536,Lejławki Małe,20.08194,54.14461
34640,Ugoda-Niemierzyn,18.55414,51.36083
34710,Sława,15.90110,53.78009
34796,Lubomin,18.83521,52.45133
35010,Głogno,21.21581,53.75720
35108,Pułkowice,19.03461,53.85761
35162,Kobylaki-Konopki,20.93174,53.12716
35419,Gierwaty,21.60042,52.97779
35595,Borowiec Pierwszy,20.94857,51.47304
35597,Osiny,21.36847,52.75514
35704,Stara Grzybowszczyzna,23.70418,53.20898
35903,Gęsie Góry,21.31649,54.24103
36038,Skarżyn-Kolonia,18.43189,51.90268
36133,Nowaszyce,17.58025,52.64478
36566,Tywonia,22.62805,50.02132
37085,Kistowo,17.75032,54.26711
37558,Nowiny,19.78004,51.60651
37700,Stare Bulkowo,20.97686,52.68538
38438,Łysakowo,20.31642,53.35626
38722,Sterławki Średnie,21.61462,54.00908
38986,Błaziny Górne,21.24990,51.13770
39135,Nowy Młyn,14.76141,52.33544
39159,Pogorzeliska,15.92087,51.46653
39383,Dobrogostowo,16.50696,52.67260
39867,Chełchy,21.33514,53.01254
40428,Wąsówko,16.22608,52.38137
40618,Nosy-Poniatki,20.65746,51.91664
41659,Zacisze,15.72485,53.21713
41694,Choszczewka,21.02887,52.98145
41909,Zabłocie Kozłowskie,20.23244,53.31199
42623,Korytów A,20.46827,52.03658
42726,Boży Dar,21.57513,51.14991
42976,Borzęcin,20.63241,51.75789
43108,Krotoszyn,18.76426,52.67807
43207,Psalmo,18.26417,54.44528
43451,Bródzki,18.38446,52.66943
44352,Lusiny,20.86982,54.20415
45268,Rączki,20.33136,53.40812
